type,variable_number,clauses_number,measured_time
N,20,78,1034
N,50,201,1227
N,75,310,1539
M,20,78,1083
M,50,201,1319
M,75,310,1405
A,20,88,913
A,20,91,886
A,100,430,1660
Q,20,78,986
Q,50,201,1175
Q,75,310,1414
R,20,78,1073
R,50,201,1141
R,75,310,1394
