n,type,runtime_microseconds,maximum_cost,maximum_weight,capacity_to_weight_ratio,cost_weight_correlation,granularity_exponent,majority_of_items
20,GR,6135021,300,150,0.8,uni,2,heavy
20,GR,6267820,300,150,0.8,uni,2,light
20,GR,6114062,300,150,0.8,uni,4,heavy
20,GR,5979137,300,150,0.8,uni,4,light
20,GR,5917439,300,150,0.8,uni,7,heavy
20,GR,6452062,300,150,0.8,uni,7,light
20,GR,6447976,300,150,0.8,uni,10,heavy
20,GR,6604463,300,150,0.8,uni,10,light
