n,type,measured_time_microseconds,maximum_cost,maximum_weight,capacity_to_weight_ratio,cost_weight_correlation,granularity_exponent,majority_of_items,average_error,maximum_error
20,GR,3122,300,150,0.8,uni,2,heavy,0.00378647,0.0379363
20,GR,2933,300,150,0.8,uni,2,light,0.00782936,0.0556154
20,GR,3075,300,150,0.8,uni,4,heavy,0.00379836,0.0277778
20,GR,3129,300,150,0.8,uni,4,light,0.00764538,0.0635438
20,GR,2967,300,150,0.8,uni,7,heavy,0.00333539,0.0314869
20,GR,2926,300,150,0.8,uni,7,light,0.00809306,0.0815519
20,GR,3020,300,150,0.8,uni,10,heavy,0.0041748,0.0328366
20,GR,2947,300,150,0.8,uni,10,light,0.0089216,0.0684762
