type,bruteForce,branchAndBound
NR,1721245,1
NR,1951996,1075049
NR,378722,67067
NR,58,53
NR,155027,154611
NR,1828680,1826122
NR,2088417,1
NR,38029,35401
NR,886189,13238
NR,2092595,1
NR,17802,278
NR,2030735,2029639
NR,2087933,2733
NR,2095756,2095614
NR,2022704,1
NR,1865411,1
NR,1971631,165741
NR,86272,21250
NR,2051493,7426
NR,1754757,1
NR,2089855,1
NR,2091955,2077003
NR,260,155
NR,1458283,1
NR,13627,5812
NR,191586,1
NR,1357058,45
NR,1990812,36487
NR,1480890,1098006
NR,2097099,1520921
NR,4043,3298
NR,2075441,899280
NR,1474,1184
NR,363908,325230
NR,2006258,1
NR,76751,21
NR,2097100,1
NR,2093944,1
NR,95,92
NR,2096351,704509
NR,443642,438075
NR,42,42
NR,2096715,1799651
NR,765806,135393
NR,2093132,2064276
NR,22493,22464
NR,2012027,4883
NR,2072545,1
NR,2097052,1
NR,2095944,593994
NR,360729,9239
NR,2015068,37774
NR,2069050,1
NR,2079885,10576
NR,4336,695
NR,129201,1
NR,2097141,81305
NR,1140772,1
NR,1249234,1249204
NR,2097121,1081921
NR,56059,54950
NR,2097128,12857
NR,2096997,1
NR,62171,52705
NR,1533120,523
NR,224659,224579
NR,2060256,1410710
NR,2095975,1
NR,1396252,138445
NR,1874636,1673086
NR,2097147,1
NR,565881,95772
NR,2097087,1
NR,685266,53124
NR,473647,1
NR,204053,393
NR,1997807,38333
NR,2005007,459
NR,6528,6522
NR,292007,26
NR,1338269,1338269
NR,1864148,1
NR,2095542,1594516
NR,1657,1519
NR,2097027,284373
NR,572192,261508
NR,1588029,1
NR,315589,1
NR,918263,531978
NR,817882,628673
NR,641845,1
NR,2092475,404220
NR,1435518,534740
NR,1570413,1568753
NR,2048865,2048865
NR,2097132,1
NR,1087859,1195
NR,25871,9455
NR,1971149,610780
NR,1839307,1
NR,1571888,1561638
NR,1966366,1929946
NR,1627171,1059875
NR,457991,5209
NR,55656,1
NR,1143849,1
NR,1012143,1011957
NR,1906356,1029783
NR,728180,1
NR,22,21
NR,291668,291512
NR,2097120,2097066
NR,1018619,809671
NR,2090471,1
NR,2097140,793156
NR,2093693,109452
NR,1532188,924
NR,21565,21565
NR,1155575,405776
NR,2090391,2002921
NR,1854547,1
NR,2096616,1
NR,8872,712
NR,729774,1
NR,1534420,542899
NR,863588,863588
NR,170521,117
NR,23414,6274
NR,1708958,1
NR,33,33
NR,2060571,1180453
NR,2094833,1779517
NR,2095023,1
NR,1315554,1315398
NR,1990592,1
NR,1902,1078
NR,2097071,1
NR,2080136,2080132
NR,2056988,459011
NR,42874,12093
NR,1476028,1
NR,160479,116911
NR,83387,42048
NR,1929325,1
NR,2097142,1
NR,1124504,1124504
NR,21,21
NR,69040,1
NR,209,166
NR,215,134
NR,2097134,2097050
NR,2096856,2070666
NR,459593,18753



ZR,1782148,349159
ZR,1744436,318023
ZR,1903556,242610
ZR,1860282,120453
ZR,1845677,112714
ZR,1803718,174837
ZR,1857134,140274
ZR,1863504,279137
ZR,1797548,433180
ZR,1880880,385576
ZR,1818879,376443
ZR,1772031,265648
ZR,1834361,205869
ZR,1871810,411724
ZR,1807982,409333
ZR,1758470,306770
ZR,1874260,237998
ZR,1774690,117492
ZR,1807631,153403
ZR,1898912,173891
ZR,1728440,211610
ZR,1781822,168432
ZR,1815117,200412
ZR,1862378,325311
ZR,1883740,141534
ZR,1873572,253901
ZR,1734004,269639
ZR,1787237,469609
ZR,1900967,357642
ZR,1832527,71494
ZR,1899700,228891
ZR,1716175,195977
ZR,1898260,141924
ZR,1864036,225512
ZR,1858648,256574
ZR,1745023,258248
ZR,1819244,129737
ZR,1805538,285114
ZR,1885642,240648
ZR,1784211,210113
ZR,1780520,275244
ZR,1772311,203551
ZR,1846208,250053
ZR,1837437,258240
ZR,1765287,176694
ZR,1901216,351339
ZR,1810325,51954
ZR,1771329,306019
ZR,1797393,329745
ZR,1896931,214563
ZR,1714109,160213
ZR,1915034,218747
ZR,1805509,424854
ZR,1757909,329754
ZR,1800828,215532
ZR,1806390,68131
ZR,1743273,96704
ZR,1924075,224792
ZR,1858081,252200
ZR,1892606,243405
ZR,1690926,221240
ZR,1815492,343346
ZR,1845304,116615
ZR,1830150,133054
ZR,1882830,148705
ZR,1859711,448704
ZR,1782604,102359
ZR,1776954,440869
ZR,1787610,257481
ZR,1779253,138049
ZR,1868763,322744
ZR,1847808,200103
ZR,1720170,77899
ZR,1832409,232349
ZR,1843393,196780
ZR,1698512,160872
ZR,1833473,77434
ZR,1788746,135706
ZR,1768759,400018
ZR,1847930,169069
ZR,1879895,114376
ZR,1814056,328841
ZR,1837969,168587
ZR,1796620,131527
ZR,1872641,194535
ZR,1879623,132512
ZR,1810547,122396
ZR,1783524,37964
ZR,1811854,211894
ZR,1747537,259070
ZR,1871641,198939
ZR,1879808,176733
ZR,1775784,300529
ZR,1822846,44814
ZR,1819638,182302
ZR,1779713,311743
ZR,1725292,45193
ZR,1864987,294820
ZR,1904043,193090
ZR,1820011,387563
ZR,1823719,382200
ZR,1881020,359114
ZR,1762535,388300
ZR,1791033,126540
ZR,1827089,324583
ZR,1863710,245137
ZR,1770970,287027
ZR,1896006,338446
ZR,1691871,135203
ZR,1773927,194368
ZR,1827211,196899
ZR,1885371,217151
ZR,1886168,124539
ZR,1727678,75817
ZR,1791130,247238
ZR,1841196,168356
ZR,1785086,217040
ZR,1817239,313237
ZR,1900766,146337
ZR,1881830,186702
ZR,1718801,144219
ZR,1725105,165751
ZR,1778483,76018
ZR,1891369,348785
ZR,1854337,216808
ZR,1899121,163583
ZR,1750719,98141
ZR,1889287,200269
