generation,best_fitness,average_fitness,optimal_solution
0,17306,3969.86,0
1,17502,6413.12,0
2,17502,8360.73,0
3,17502,9492.99,0
4,18204,10530.5,0
5,18204,10340.7,0
6,18445,11028.2,0
7,18535,11660.9,0
8,19589,11632.4,0
9,19589,11886.7,0
10,19589,11850.4,0
11,20052,13260.4,0
12,20052,14319,0
13,20052,15551.9,0
14,21441,17245.7,0
15,21441,17647.1,0
16,21441,17916.3,0
17,22268,18508.5,0
18,22268,19002.7,0
19,22268,19863.8,0
20,22268,20111.7,0
21,22268,20211.7,0
22,22268,20963,0
23,22268,21764,0
24,22268,22094.2,0
25,22268,22188.5,0
26,22268,22178.6,0
27,22268,22268,0
28,22268,22268,0
29,22268,22268,0
30,22268,22268,0
