generation,best_fitness,average_fitness,optimal_solution
0,111139,37207.6,0
1,111139,53486.2,0
2,111139,63744,0
3,111217,67357.3,0
4,111217,70966.8,0
5,111533,71641.9,0
6,111533,74473.2,0
7,116459,74645.5,0
8,116459,73679.4,0
9,124002,73574.4,0
10,124002,74372.6,0
11,124002,80967.9,0
12,124002,84827.9,0
13,124002,89482.1,0
14,125193,93780.7,0
15,125193,96963.3,0
16,125193,101134,0
17,125193,102794,0
18,127860,103690,0
19,127860,105721,0
20,127860,106780,0
21,127860,112560,0
22,127860,119165,0
23,127860,118865,0
24,127860,122035,0
25,127860,124634,0
26,127860,126886,0
27,127860,127767,0
28,127860,127779,0
29,127860,127860,0
30,127860,127860,0
