generation,best_fitness,average_fitness,optimal_solution
0,23191,1350.98,0
1,30659,3363.63,0
2,30846,5593.37,0
3,30846,7513.49,0
4,30982,9721,0
5,30982,12297.7,0
6,31048,13937.1,0
7,31486,15409.5,0
8,32267,16053.5,0
9,32267,16388,0
10,32267,17173.9,0
11,34729,18399.4,0
12,34729,20143.9,0
13,36880,20719.9,0
14,36880,20164,0
15,37464,20676.8,0
16,37464,22020.1,0
17,37464,22402.3,0
18,38066,24386.5,0
19,38410,24852.2,0
20,39575,25617,0
21,39575,26716.2,0
22,40633,27567.4,0
23,40633,27589,0
24,40933,31157.5,0
25,40933,31856,0
26,40933,33733.2,0
27,40933,35485.4,0
28,40933,36657.9,0
29,40933,38099,0
30,40933,39098.5,0
31,40933,39985.7,0
32,40933,40378.8,0
33,40933,40797.8,0
34,40933,40674.2,0
35,40933,40906.8,0
36,40933,40933,0
37,40933,40933,0
38,40933,40933,0
39,40933,40933,0
40,40933,40933,0
