generation,best_fitness,average_fitness,optimal_solution
0,80597,46494.3,84717
1,80597,50275.1,84717
2,84717,51519.5,84717
3,84717,53405.3,84717
4,84717,54063.4,84717
5,84717,54753.3,84717
6,84717,57090.6,84717
7,84717,57986.2,84717
8,84717,58418.4,84717
9,84717,60075.3,84717
10,84717,62328.6,84717
11,84717,69681.2,84717
12,84717,77880.3,84717
13,84717,83089.4,84717
14,84717,84555.3,84717
15,84717,84717,84717
16,84717,84717,84717
17,84717,84717,84717
18,84717,84717,84717
19,84717,84717,84717
20,84717,84717,84717
