generation,best_fitness,average_fitness,optimal_solution
0,61031,35782.6,61031
1,61031,37733.3,61031
2,61031,38522.2,61031
3,61031,40290.4,61031
4,61031,41162,61031
5,61031,42499.9,61031
6,61031,43575.7,61031
7,61031,43861.6,61031
8,61031,44459.7,61031
9,61031,45930,61031
10,61031,46470.1,61031
11,61031,49934.6,61031
12,61031,53463.5,61031
13,61031,56189.7,61031
14,61031,60057.4,61031
15,61031,60802.6,61031
16,61031,60974,61031
17,61031,61031,61031
18,61031,61031,61031
19,61031,61031,61031
20,61031,61031,61031
