generation,best_fitness,average_fitness,optimal_solution
0,81389,18678.3,0
1,87074,31961,0
2,87074,39435.5,0
3,87074,45829.8,0
4,87074,50883.6,0
5,87074,52256.9,0
6,89014,53429.9,0
7,89014,55743.9,0
8,89014,56237.2,0
9,91232,59130.8,0
10,96635,60094.6,0
11,96635,64470.4,0
12,96635,66036.7,0
13,96635,66971.1,0
14,96635,69313.7,0
15,96635,68118.9,0
16,96635,69329.7,0
17,96635,68516.7,0
18,96635,64675.6,0
19,96635,60536.2,0
20,96635,63957.3,0
21,96635,67883.3,0
22,96635,73612.2,0
23,103397,76866.9,0
24,103397,76846.7,0
25,103397,76850,0
26,107565,75044.3,0
27,107565,70479.7,0
28,107565,63777.4,0
29,107565,59800.5,0
30,107565,56886.1,0
31,107565,48863.6,0
32,107565,49672.2,0
33,107565,60839.6,0
34,107565,70881.3,0
35,107565,80633.2,0
36,107565,86255.2,0
37,107565,88752.1,0
38,107565,94151.5,0
39,107565,97447.6,0
40,107565,98148.9,0
41,107565,101120,0
42,107565,101990,0
43,107565,102348,0
44,107565,103119,0
45,107565,102698,0
46,107565,102557,0
47,107565,102740,0
48,107565,101783,0
49,107565,100974,0
50,107565,102110,0
51,107565,101841,0
52,107565,101930,0
53,107565,102416,0
54,107565,102744,0
55,107565,104287,0
56,107565,104979,0
57,107565,105187,0
58,107565,105908,0
59,107565,106396,0
60,107565,107082,0
61,107565,107135,0
62,107565,107126,0
63,107565,107350,0
64,107565,107565,0
65,107565,107565,0
66,107565,107565,0
67,107565,107565,0
68,107565,107565,0
69,107565,107565,0
70,107565,107565,0
