generation,best_fitness,average_fitness,optimal_solution
0,10086,2810.47,0
1,10666,4996.4,0
2,10704,6749.75,0
3,10704,7769.48,0
4,10854,8313.44,0
5,10854,8795.43,0
6,10892,8976.91,0
7,10892,9283.83,0
8,10892,9300.08,0
9,10892,9631.32,0
10,10892,9624.27,0
11,10892,10025.7,0
12,10892,10103.4,0
13,10892,10395.2,0
14,10892,10391.6,0
15,10892,10534.2,0
16,10892,10567.3,0
17,10892,10694.5,0
18,10892,10752.7,0
19,10892,10864.8,0
20,10892,10886,0
21,10892,10870.2,0
22,10892,10891.6,0
23,10892,10888.9,0
24,10892,10892,0
25,10892,10892,0
26,10892,10892,0
27,10892,10892,0
28,10892,10892,0
29,10892,10892,0
30,10892,10892,0
