generation,best_fitness,average_fitness,optimal_solution
0,79999,22997.4,0
1,79999,35106,0
2,81039,39707.1,0
3,81039,43482.2,0
4,81228,46331.3,0
5,81228,47956.9,0
6,84488,48440.8,0
7,84488,49228.9,0
8,84488,49838.5,0
9,88287,50723.5,0
10,88287,53026.8,0
11,88287,54900.2,0
12,88287,58454.7,0
13,90255,59217,0
14,90255,61812.8,0
15,90255,63636.1,0
16,93220,66714.7,0
17,93220,70942.7,0
18,96753,75888.9,0
19,96753,77497.2,0
20,96753,82372.1,0
21,96753,88273,0
22,96753,93420.4,0
23,96753,95607.7,0
24,96753,96296.3,0
25,96753,96552.4,0
26,96753,96716.1,0
27,96753,96753,0
28,96753,96753,0
29,96753,96753,0
30,96753,96753,0
