generation,best_fitness,average_fitness,optimal_solution
0,67592,43881.7,69608
1,69608,47145.9,69608
2,69608,50420,69608
3,69608,53235.5,69608
4,69608,55808.6,69608
5,69608,58351.2,69608
6,69608,59834.8,69608
7,69608,61333.1,69608
8,69608,63979.2,69608
9,69608,66362.5,69608
10,69608,68106.2,69608
11,69608,69373.4,69608
12,69608,69608,69608
13,69608,69608,69608
14,69608,69608,69608
15,69608,69608,69608
16,69608,69608,69608
17,69608,69608,69608
18,69608,69608,69608
19,69608,69608,69608
20,69608,69608,69608
