generation,best_fitness,average_fitness,optimal_solution
0,14659,7991.54,15776
1,14659,9200.91,15776
2,15776,9856.96,15776
3,15776,10604.6,15776
4,15776,11478.3,15776
5,15776,12003.2,15776
6,15776,12665.3,15776
7,15776,13026,15776
8,15776,13690.7,15776
9,15776,14117.2,15776
10,15776,14686.7,15776
11,15776,15536.6,15776
12,15776,15735.3,15776
13,15776,15776,15776
14,15776,15776,15776
15,15776,15776,15776
16,15776,15776,15776
17,15776,15776,15776
18,15776,15776,15776
19,15776,15776,15776
20,15776,15776,15776
