generation,best_fitness,average_fitness,optimal_solution
0,89994,55033.3,95788
1,92605,60377.8,95788
2,92605,65398.1,95788
3,94097,69495.4,95788
4,95788,72040.8,95788
5,95788,75697.3,95788
6,95788,77857.3,95788
7,95788,78173.8,95788
8,95788,79503.5,95788
9,95788,80325.9,95788
10,95788,81521.3,95788
11,95788,84889.5,95788
12,95788,89980.5,95788
13,95788,93986.8,95788
14,95788,95618.4,95788
15,95788,95744.3,95788
16,95788,95788,95788
17,95788,95788,95788
18,95788,95788,95788
19,95788,95788,95788
20,95788,95788,95788
