generation,best_fitness,average_fitness,optimal_solution
0,1565,218.984,0
1,1767,416.206,0
2,1833,626.876,0
3,2203,786.782,0
4,2203,864.932,0
5,2203,932.94,0
6,2203,1004.09,0
7,2203,1019.03,0
8,2203,1090.69,0
9,2203,1144.91,0
10,2203,1190.13,0
11,2203,1295.19,0
12,2335,1402.28,0
13,2335,1430.97,0
14,2335,1503.86,0
15,2403,1573.78,0
16,2403,1586.93,0
17,2523,1695.27,0
18,2523,1667.21,0
19,2523,1667.71,0
20,2523,1655.33,0
21,2641,1593.79,0
22,2641,1412.3,0
23,2653,1270.14,0
24,2653,1240.29,0
25,2653,1402.99,0
26,2653,1535.2,0
27,2653,1868.24,0
28,2653,1996.52,0
29,2653,2124.62,0
30,2653,2210.96,0
31,2653,2332.57,0
32,2653,2394.53,0
33,2653,2378.37,0
34,2653,2462.62,0
35,2653,2509.14,0
36,2653,2528.13,0
37,2653,2571.08,0
38,2653,2584.54,0
39,2653,2610.48,0
40,2653,2621.11,0
41,2653,2612.34,0
42,2653,2592.42,0
43,2653,2612.96,0
44,2653,2628.11,0
45,2653,2644.12,0
46,2653,2632.2,0
47,2653,2635.04,0
48,2653,2646.89,0
49,2653,2651.4,0
50,2653,2653,0
