generation,best_fitness,average_fitness,optimal_solution
0,22804,16833.4,25103
1,23847,18917.3,25103
2,23847,20149.1,25103
3,25103,21080.5,25103
4,25103,22051.1,25103
5,25103,22889.3,25103
6,25103,23501.9,25103
7,25103,24220.3,25103
8,25103,24633.6,25103
9,25103,24943.9,25103
10,25103,25025.9,25103
11,25103,25100,25103
12,25103,25103,25103
13,25103,25103,25103
14,25103,25103,25103
15,25103,25103,25103
16,25103,25103,25103
17,25103,25103,25103
18,25103,25103,25103
19,25103,25103,25103
20,25103,25103,25103
