generation,best_fitness,average_fitness,optimal_solution
0,36928,29162.2,36928
1,36928,30731.4,36928
2,36928,32041.3,36928
3,36928,33089.4,36928
4,36928,33990.5,36928
5,36928,34937.1,36928
6,36928,35719.1,36928
7,36928,36261.3,36928
8,36928,36678.2,36928
9,36928,36832.2,36928
10,36928,36919.2,36928
11,36928,36928,36928
12,36928,36928,36928
13,36928,36928,36928
14,36928,36928,36928
15,36928,36928,36928
16,36928,36928,36928
17,36928,36928,36928
18,36928,36928,36928
19,36928,36928,36928
20,36928,36928,36928
