generation,best_fitness,average_fitness,optimal_solution
0,104033,48338.2,104033
1,104033,52178.9,104033
2,104033,55480.5,104033
3,104033,60185.6,104033
4,104033,62640,104033
5,104033,64444.6,104033
6,104033,65735.5,104033
7,104033,67735.8,104033
8,104033,71082.3,104033
9,104033,74514.2,104033
10,104033,79572.3,104033
11,104033,91783.8,104033
12,104033,99815.1,104033
13,104033,103084,104033
14,104033,103945,104033
15,104033,104033,104033
16,104033,104033,104033
17,104033,104033,104033
18,104033,104033,104033
19,104033,104033,104033
20,104033,104033,104033
