generation,best_fitness,average_fitness,optimal_solution
0,37043,28363.3,37043
1,37043,29944.8,37043
2,37043,31208.7,37043
3,37043,32390.9,37043
4,37043,33248.3,37043
5,37043,33913.9,37043
6,37043,34616.1,37043
7,37043,35279.4,37043
8,37043,36013,37043
9,37043,36528.5,37043
10,37043,36872.5,37043
11,37043,37032.6,37043
12,37043,37039.3,37043
13,37043,37043,37043
14,37043,37043,37043
15,37043,37043,37043
16,37043,37043,37043
17,37043,37043,37043
18,37043,37043,37043
19,37043,37043,37043
20,37043,37043,37043
