generation,best_fitness,average_fitness,optimal_solution
0,43226,16176.9,0
1,45419,23363.2,0
2,45419,26643.5,0
3,51589,27541.1,0
4,51589,27510.8,0
5,51589,28741.6,0
6,51589,29861.8,0
7,52055,30069.7,0
8,52055,30100.9,0
9,52055,30138.8,0
10,52055,30122,0
11,52055,31655,0
12,54249,33899.6,0
13,54249,35875.8,0
14,55943,37583.4,0
15,55943,41813.2,0
16,55943,44996.8,0
17,55943,49620.8,0
18,55943,51935.4,0
19,55943,53507.4,0
20,55943,54119.9,0
21,55943,55045.4,0
22,55943,55404.2,0
23,55943,55821.3,0
24,55943,55943,0
25,55943,55943,0
26,55943,55943,0
27,55943,55943,0
28,55943,55943,0
29,55943,55943,0
30,55943,55943,0
