generation,best_fitness,average_fitness,optimal_solution
0,21565,16123.6,23075
1,22095,17478,23075
2,23075,18493.2,23075
3,23075,19344.6,23075
4,23075,19994.3,23075
5,23075,20620.3,23075
6,23075,21230.2,23075
7,23075,21643.2,23075
8,23075,22089.9,23075
9,23075,22368.5,23075
10,23075,22745,23075
11,23075,23028,23075
12,23075,23059.9,23075
13,23075,23075,23075
14,23075,23075,23075
15,23075,23075,23075
16,23075,23075,23075
17,23075,23075,23075
18,23075,23075,23075
19,23075,23075,23075
20,23075,23075,23075
