generation,best_fitness,average_fitness,optimal_solution
0,60087,32169.8,60087
1,60087,35239.7,60087
2,60087,37669,60087
3,60087,38174.1,60087
4,60087,39856.3,60087
5,60087,41336.7,60087
6,60087,44227.8,60087
7,60087,47448.6,60087
8,60087,51418.6,60087
9,60087,53288.5,60087
10,60087,53671.9,60087
11,60087,55079.7,60087
12,60087,58663.1,60087
13,60087,59854.5,60087
14,60087,60087,60087
15,60087,60087,60087
16,60087,60087,60087
17,60087,60087,60087
18,60087,60087,60087
19,60087,60087,60087
20,60087,60087,60087
