generation,best_fitness,average_fitness,optimal_solution
0,17133,10171.2,17398
1,17133,11082.5,17398
2,17398,11851.4,17398
3,17398,12477.1,17398
4,17398,12906.3,17398
5,17398,13448.1,17398
6,17398,13853.7,17398
7,17398,14430.1,17398
8,17398,14642.9,17398
9,17398,14982.7,17398
10,17398,15568.8,17398
11,17398,16442.8,17398
12,17398,17015.3,17398
13,17398,17346.8,17398
14,17398,17398,17398
15,17398,17398,17398
16,17398,17398,17398
17,17398,17398,17398
18,17398,17398,17398
19,17398,17398,17398
20,17398,17398,17398
