generation,best_fitness,average_fitness,optimal_solution
0,49137,7570.33,0
1,51114,13041.9,0
2,60586,17375.5,0
3,60586,20987.9,0
4,60586,23725.4,0
5,60586,25445.5,0
6,60586,27723,0
7,60586,29099.7,0
8,60586,29591.6,0
9,62595,30445.1,0
10,62991,30257.5,0
11,62991,32393.9,0
12,62991,34090.8,0
13,63575,33977.9,0
14,63575,37395.9,0
15,65628,38844.7,0
16,65628,41023.5,0
17,65837,45240.6,0
18,65837,48610.5,0
19,65837,50498.7,0
20,65837,52579.2,0
21,65837,55304.4,0
22,65837,60010.4,0
23,65837,62642.5,0
24,65837,63471.4,0
25,65837,63965.8,0
26,65837,65045,0
27,65837,65522.7,0
28,65837,65820.6,0
29,65837,65837,0
30,65837,65837,0
