generation,best_fitness,average_fitness,optimal_solution
0,52128,24154,52128
1,52128,26800.9,52128
2,52128,28324.3,52128
3,52128,28606.4,52128
4,52128,29687.7,52128
5,52128,29976.4,52128
6,52128,31484.7,52128
7,52128,31889.7,52128
8,52128,32036.4,52128
9,52128,33500.5,52128
10,52128,33341.7,52128
11,52128,34995.3,52128
12,52128,34476.1,52128
13,52128,35359.3,52128
14,52128,36298.1,52128
15,52128,36939.5,52128
16,52128,38062.1,52128
17,52128,43422.3,52128
18,52128,49024.8,52128
19,52128,51211.5,52128
20,52128,51980.9,52128
21,52128,52128,52128
22,52128,52128,52128
23,52128,52128,52128
24,52128,52128,52128
25,52128,52128,52128
26,52128,52128,52128
27,52128,52128,52128
28,52128,52128,52128
29,52128,52128,52128
30,52128,52128,52128
