generation,best_fitness,average_fitness,optimal_solution
0,15162,5315.32,0
1,15923,8573.79,0
2,16025,10227.8,0
3,16044,11008.3,0
4,16055,11450.3,0
5,16250,11798.4,0
6,16395,11983.4,0
7,16767,12195.2,0
8,16767,12724.5,0
9,16767,13249.7,0
10,16767,13340,0
11,16847,14411.4,0
12,17391,14870.8,0
13,17528,15563.5,0
14,17528,16285.7,0
15,17528,16844.1,0
16,17528,16876,0
17,17528,16778.5,0
18,17528,17155.5,0
19,17528,17420.6,0
20,17528,17448.2,0
21,17528,17513.4,0
22,17528,17517.6,0
23,17528,17528,0
24,17528,17528,0
25,17528,17528,0
26,17528,17528,0
27,17528,17528,0
28,17528,17528,0
29,17528,17528,0
30,17528,17528,0
