generation,best_fitness,average_fitness,optimal_solution
0,21381,9169.69,0
1,21381,14313.4,0
2,22147,16941,0
3,22401,18265,0
4,23123,19354.5,0
5,23123,19706.6,0
6,23123,20294.9,0
7,23123,20734.2,0
8,23277,20902.7,0
9,23380,21504.3,0
10,23708,21779,0
11,23708,22457.3,0
12,23708,23019.7,0
13,23841,23519.3,0
14,23841,23686,0
15,23841,23628.7,0
16,23841,23568.3,0
17,23841,23534.3,0
18,23841,23400,0
19,23841,23810.2,0
20,23841,23836.8,0
21,23841,23841,0
22,23841,23841,0
23,23841,23841,0
24,23841,23841,0
25,23841,23841,0
26,23841,23841,0
27,23841,23841,0
28,23841,23841,0
29,23841,23841,0
30,23841,23841,0
