generation,best_fitness,average_fitness,optimal_solution
0,46976,16205.5,0
1,48593,24085.5,0
2,48593,26647.6,0
3,49093,28264.9,0
4,49093,30590.1,0
5,51783,31829.9,0
6,51783,33353.2,0
7,51783,34843.4,0
8,51783,35552.7,0
9,53953,36855.9,0
10,53953,37020.6,0
11,54377,40867.2,0
12,54812,43952.3,0
13,55522,46035.3,0
14,56219,48637.4,0
15,56219,49531.2,0
16,56219,50018.4,0
17,56219,50743.6,0
18,56219,53524.1,0
19,56219,55481.7,0
20,56219,56092.1,0
21,56219,56182.2,0
22,56219,56213.3,0
23,56219,56219,0
24,56219,56219,0
25,56219,56219,0
26,56219,56219,0
27,56219,56219,0
28,56219,56219,0
29,56219,56219,0
30,56219,56219,0
