generation,best_fitness,average_fitness,optimal_solution
0,20507,14384.5,22197
1,21066,15952.9,22197
2,22197,17005.4,22197
3,22197,18042.9,22197
4,22197,18836.4,22197
5,22197,19658,22197
6,22197,20399.9,22197
7,22197,21076.7,22197
8,22197,21672.3,22197
9,22197,21987,22197
10,22197,22156.9,22197
11,22197,22194.2,22197
12,22197,22197,22197
13,22197,22197,22197
14,22197,22197,22197
15,22197,22197,22197
16,22197,22197,22197
17,22197,22197,22197
18,22197,22197,22197
19,22197,22197,22197
20,22197,22197,22197
