generation,best_fitness,average_fitness,optimal_solution
0,23544,692.59,0
1,31992,1621.18,0
2,31992,2558.37,0
3,31992,2815.79,0
4,32850,4072.82,0
5,34406,3984.03,0
6,34457,5130.93,0
7,37458,6386.87,0
8,37458,7299.93,0
9,37458,8860.46,0
10,37458,9812.94,0
11,37458,11830.8,0
12,37458,13541.8,0
13,37944,15212.1,0
14,37944,16074,0
15,37944,16983.9,0
16,37944,18301.4,0
17,37944,18767.3,0
18,37944,18738.5,0
19,37944,20093.6,0
20,39221,20785,0
21,39221,21750.9,0
22,39221,22788.5,0
23,39221,22633.3,0
24,39835,24326.5,0
25,40146,24643.4,0
26,40146,25905.7,0
27,40737,25952.7,0
28,40840,27504.4,0
29,41714,29014.2,0
30,42647,30261.9,0
31,42647,32171.9,0
32,42647,33523.9,0
33,42647,35391.8,0
34,42647,36946.1,0
35,42647,38813.6,0
36,42647,39119,0
37,42647,40275,0
38,42647,40832.2,0
39,42647,41258,0
40,42647,41633,0
41,42647,42111.4,0
42,42647,42556.5,0
43,42647,42525.3,0
44,42647,42389,0
45,42647,42281.5,0
46,42647,42168.2,0
47,42647,42515.7,0
48,42647,42516.9,0
49,42647,42471.4,0
50,42647,42516.4,0
51,42647,42647,0
52,42647,42647,0
53,42647,42647,0
54,42647,42647,0
55,42647,42647,0
56,42647,42647,0
57,42647,42647,0
58,42647,42647,0
59,42647,42647,0
60,42647,42647,0
