generation,best_fitness,average_fitness,optimal_solution
0,91642,62516.1,91642
1,91642,70825.9,91642
2,91642,74832.1,91642
3,91642,78949,91642
4,91642,82482.9,91642
5,91642,84748.1,91642
6,91642,87295.1,91642
7,91642,89171,91642
8,91642,90286.9,91642
9,91642,91084.1,91642
10,91642,91553,91642
11,91642,91620.9,91642
12,91642,91642,91642
13,91642,91642,91642
14,91642,91642,91642
15,91642,91642,91642
16,91642,91642,91642
17,91642,91642,91642
18,91642,91642,91642
19,91642,91642,91642
20,91642,91642,91642
