generation,best_fitness,average_fitness,optimal_solution
0,41837,11431.9,0
1,44727,19993.4,0
2,48076,23916.8,0
3,48076,26213.1,0
4,48076,26979.2,0
5,48076,26878.4,0
6,48076,26957.4,0
7,48493,27750.3,0
8,48493,28671.3,0
9,48493,29553.2,0
10,53834,29760.4,0
11,53834,32506.3,0
12,53834,34225.5,0
13,56166,37073.5,0
14,56166,39493.4,0
15,56166,41265.8,0
16,56694,44425,0
17,58552,48415.9,0
18,58552,51046.6,0
19,58552,53113,0
20,58552,55218.3,0
21,58552,56448.9,0
22,58552,56943.6,0
23,58552,57842.7,0
24,58552,58183.9,0
25,58552,58292.8,0
26,58552,58520.2,0
27,58552,58552,0
28,58552,58552,0
29,58552,58552,0
30,58552,58552,0
