generation,best_fitness,average_fitness,optimal_solution
0,24356,18573.2,25703
1,25703,19912.7,25703
2,25703,21051.7,25703
3,25703,22049.4,25703
4,25703,23071,25703
5,25703,23699.4,25703
6,25703,24366.4,25703
7,25703,24858.9,25703
8,25703,25113.7,25703
9,25703,25480.2,25703
10,25703,25604.7,25703
11,25703,25703,25703
12,25703,25703,25703
13,25703,25703,25703
14,25703,25703,25703
15,25703,25703,25703
16,25703,25703,25703
17,25703,25703,25703
18,25703,25703,25703
19,25703,25703,25703
20,25703,25703,25703
