generation,best_fitness,average_fitness,optimal_solution
0,75257,47668.2,81600
1,79358,51600.5,81600
2,81600,54224,81600
3,81600,56518.5,81600
4,81600,58710.6,81600
5,81600,60416.8,81600
6,81600,61795.2,81600
7,81600,63053.7,81600
8,81600,65581.9,81600
9,81600,67556.1,81600
10,81600,69331.8,81600
11,81600,74724.6,81600
12,81600,80163.5,81600
13,81600,81300.4,81600
14,81600,81547,81600
15,81600,81579.4,81600
16,81600,81588.2,81600
17,81600,81600,81600
18,81600,81600,81600
19,81600,81600,81600
20,81600,81600,81600
