generation,best_fitness,average_fitness,optimal_solution
0,75944,13603.3,0
1,81760,24134.2,0
2,86320,32121.1,0
3,86320,36287.1,0
4,88325,40683.7,0
5,88325,42455.5,0
6,94209,42559.9,0
7,94209,43961.6,0
8,94209,44876.3,0
9,94209,45648.6,0
10,94209,46276.7,0
11,94209,50130.7,0
12,94209,50559.6,0
13,94798,52909.4,0
14,95012,51121,0
15,98321,53521.1,0
16,98321,55198.3,0
17,98839,57034.6,0
18,98839,64488.9,0
19,98839,70426.1,0
20,98839,75410.4,0
21,98839,82463.7,0
22,98839,88777.7,0
23,99124,93567.3,0
24,99124,95556.7,0
25,99124,96472.9,0
26,99124,98426.1,0
27,99124,98411.1,0
28,99124,98755.3,0
29,99124,98918.1,0
30,99124,99124,0
