generation,best_fitness,average_fitness,optimal_solution
0,123852,50107.9,0
1,131073,72629.1,0
2,133103,81308.6,0
3,138640,85565.9,0
4,138640,89217.4,0
5,155447,93508.8,0
6,155447,95016.1,0
7,155447,95650.6,0
8,155447,99985.7,0
9,155447,102080,0
10,155447,104943,0
11,155447,109698,0
12,155447,121712,0
13,155447,128900,0
14,155447,134754,0
15,155447,137290,0
16,155447,144808,0
17,155447,151199,0
18,155447,153691,0
19,155447,154657,0
20,155447,154506,0
21,155447,155055,0
22,155447,155439,0
23,155447,155447,0
24,155447,155447,0
25,155447,155447,0
26,155447,155447,0
27,155447,155447,0
28,155447,155447,0
29,155447,155447,0
30,155447,155447,0
