generation,best_fitness,average_fitness,optimal_solution
0,54212,9961.85,0
1,59833,19399,0
2,79337,26380,0
3,79337,31554.9,0
4,79337,33586.6,0
5,79337,33211.3,0
6,79337,35871.7,0
7,79337,37293.9,0
8,79337,36811.2,0
9,79337,38023.6,0
10,79337,37820.5,0
11,79337,39317.8,0
12,79337,38916.7,0
13,79337,41073.5,0
14,79337,43825.6,0
15,82655,44992.2,0
16,82655,45303.8,0
17,82655,49160.7,0
18,82655,52526.9,0
19,86883,56628.9,0
20,86883,62260.9,0
21,86883,66580.8,0
22,86883,72666,0
23,86883,76443.3,0
24,86883,79859,0
25,86883,80810.6,0
26,86883,84166.4,0
27,86883,85739.1,0
28,86883,86190.6,0
29,86883,86219.5,0
30,86883,86214.9,0
31,86883,86526.6,0
32,86883,86302.3,0
33,86883,86598.6,0
34,86883,86342.8,0
35,86883,86427.9,0
36,86883,86298.4,0
37,86883,86555.8,0
38,86883,86880.2,0
39,86883,86883,0
40,86883,86883,0
