generation,best_fitness,average_fitness,optimal_solution
0,2447,842.472,0
1,2519,1243.87,0
2,2519,1475.03,0
3,2519,1513.42,0
4,2585,1598.64,0
5,2783,1672.08,0
6,2783,1689.04,0
7,2783,1705.79,0
8,2783,1747.56,0
9,2783,1735.15,0
10,2783,1733.77,0
11,2783,1794.52,0
12,2839,1821.7,0
13,2839,1791.31,0
14,2839,1824.22,0
15,2839,1944.44,0
16,2839,2059.17,0
17,2839,2163.63,0
18,2839,2264.03,0
19,2839,2366.14,0
20,2844,2497.37,0
21,2844,2661.31,0
22,2844,2771.4,0
23,2844,2786.73,0
24,2844,2766.53,0
25,2844,2769.09,0
26,2844,2716.24,0
27,2844,2634.04,0
28,2844,2654.27,0
29,2844,2765.99,0
30,2844,2826.08,0
31,2844,2827.51,0
32,2844,2838.07,0
33,2844,2844,0
34,2844,2844,0
35,2844,2844,0
36,2844,2844,0
37,2844,2844,0
38,2844,2844,0
39,2844,2844,0
40,2844,2844,0
