generation,best_fitness,average_fitness,optimal_solution
0,90604,56660.9,92397
1,92397,61908.1,92397
2,92397,64863,92397
3,92397,66924.7,92397
4,92397,68659.8,92397
5,92397,69978,92397
6,92397,73255,92397
7,92397,75301.1,92397
8,92397,78316.3,92397
9,92397,80864,92397
10,92397,83370.8,92397
11,92397,90016.3,92397
12,92397,92213.2,92397
13,92397,92369.1,92397
14,92397,92397,92397
15,92397,92397,92397
16,92397,92397,92397
17,92397,92397,92397
18,92397,92397,92397
19,92397,92397,92397
20,92397,92397,92397
