generation,best_fitness,average_fitness,optimal_solution
0,57099,30580.4,57099
1,57099,32776.1,57099
2,57099,34419.6,57099
3,57099,36199.7,57099
4,57099,37467,57099
5,57099,38333.7,57099
6,57099,38614.9,57099
7,57099,38656.1,57099
8,57099,39471.6,57099
9,57099,39561.9,57099
10,57099,39501.1,57099
11,57099,41186.6,57099
12,57099,43525.7,57099
13,57099,45576.4,57099
14,57099,49647.6,57099
15,57099,54464.6,57099
16,57099,56794.4,57099
17,57099,57090.8,57099
18,57099,57099,57099
19,57099,57099,57099
20,57099,57099,57099
