generation,best_fitness,average_fitness,optimal_solution
0,12723,8883.24,0
1,13444,10978.8,0
2,13493,11545,0
3,13529,12154.7,0
4,13925,12460.7,0
5,14422,12781.3,0
6,14422,12934.3,0
7,14422,13197.7,0
8,14422,13354.2,0
9,14422,13550.8,0
10,14422,13742.1,0
11,14422,13984.2,0
12,14497,14179.7,0
13,14497,14291.7,0
14,14517,14363.9,0
15,14555,14344,0
16,14592,14397.3,0
17,14592,14435.4,0
18,14592,14444.6,0
19,14650,14549,0
20,14650,14607.4,0
21,14650,14642.9,0
22,14650,14649.8,0
23,14650,14650,0
24,14650,14650,0
25,14650,14650,0
26,14650,14650,0
27,14650,14650,0
28,14650,14650,0
29,14650,14650,0
30,14650,14650,0
