generation,best_fitness,average_fitness,optimal_solution
0,37513,12422.8,0
1,40150,19179.1,0
2,43898,23203.5,0
3,43898,25491.9,0
4,45592,26889.2,0
5,45592,27631.2,0
6,46961,28970.9,0
7,47696,30040.2,0
8,47696,30339.6,0
9,47696,31491.6,0
10,47696,32087.9,0
11,48952,34735,0
12,49494,36006.3,0
13,49494,36949.9,0
14,49494,38793.8,0
15,49494,40774.3,0
16,49494,43305.7,0
17,49494,46228.3,0
18,49494,48218.1,0
19,49494,49186.8,0
20,49494,49427.3,0
21,49494,49469.1,0
22,49494,49494,0
23,49494,49494,0
24,49494,49494,0
25,49494,49494,0
26,49494,49494,0
27,49494,49494,0
28,49494,49494,0
29,49494,49494,0
30,49494,49494,0
