n,measured_time_milliseconds,average_error,population_size,mutation_rate,crossover_rate,tournament_size,num_elites,crossover_type,num_generations
30,5899,0.0366328,30,0.01,0.9,4,3,ONE_POINT,30
30,9376,0.035259,30,0.01,0.9,4,3,ONE_POINT,50
30,18619,0.0274974,30,0.01,0.9,4,3,ONE_POINT,100
30,5713,0.0383775,30,0.01,0.9,4,3,TWO_POINT,30
30,9398,0.0300262,30,0.01,0.9,4,3,TWO_POINT,50
30,22997,0.0268827,30,0.01,0.9,4,3,TWO_POINT,100
30,7572,0.0435612,30,0.01,0.9,4,5,ONE_POINT,30
30,12535,0.0354227,30,0.01,0.9,4,5,ONE_POINT,50
30,24395,0.0287735,30,0.01,0.9,4,5,ONE_POINT,100
30,8705,0.0354411,30,0.01,0.9,4,5,TWO_POINT,30
30,10589,0.0346731,30,0.01,0.9,4,5,TWO_POINT,50
30,20825,0.0274241,30,0.01,0.9,4,5,TWO_POINT,100
30,9037,0.0415768,30,0.01,0.9,6,1,ONE_POINT,30
30,13114,0.0359021,30,0.01,0.9,6,1,ONE_POINT,50
30,26494,0.028556,30,0.01,0.9,6,1,ONE_POINT,100
30,7664,0.0396466,30,0.01,0.9,6,1,TWO_POINT,30
30,12503,0.0353183,30,0.01,0.9,6,1,TWO_POINT,50
30,24606,0.0307382,30,0.01,0.9,6,1,TWO_POINT,100
30,8458,0.0435127,30,0.01,0.9,6,3,ONE_POINT,30
30,12908,0.0402017,30,0.01,0.9,6,3,ONE_POINT,50
30,22310,0.0297812,30,0.01,0.9,6,3,ONE_POINT,100
30,6681,0.040932,30,0.01,0.9,6,3,TWO_POINT,30
30,13276,0.0356625,30,0.01,0.9,6,3,TWO_POINT,50
30,23294,0.030658,30,0.01,0.9,6,3,TWO_POINT,100
30,7226,0.048429,30,0.01,0.9,6,5,ONE_POINT,30
30,11970,0.0407993,30,0.01,0.9,6,5,ONE_POINT,50
30,24012,0.0332722,30,0.01,0.9,6,5,ONE_POINT,100
30,7425,0.0403613,30,0.01,0.9,6,5,TWO_POINT,30
30,11699,0.0421654,30,0.01,0.9,6,5,TWO_POINT,50
30,29511,0.0299118,30,0.01,0.9,6,5,TWO_POINT,100
30,6792,0.0269492,30,0.01,0.95,2,1,ONE_POINT,30
30,12503,0.021331,30,0.01,0.95,2,1,ONE_POINT,50
30,19927,0.0154813,30,0.01,0.95,2,1,ONE_POINT,100
30,5961,0.0240213,30,0.01,0.95,2,1,TWO_POINT,30
30,9632,0.0206961,30,0.01,0.95,2,1,TWO_POINT,50
30,18579,0.0138867,30,0.01,0.95,2,1,TWO_POINT,100
30,6051,0.0290699,30,0.01,0.95,2,3,ONE_POINT,30
30,10099,0.0240676,30,0.01,0.95,2,3,ONE_POINT,50
30,19666,0.0184957,30,0.01,0.95,2,3,ONE_POINT,100
30,5911,0.0260056,30,0.01,0.95,2,3,TWO_POINT,30
30,9762,0.0205052,30,0.01,0.95,2,3,TWO_POINT,50
30,18984,0.017199,30,0.01,0.95,2,3,TWO_POINT,100
30,6382,0.0327929,30,0.01,0.95,2,5,ONE_POINT,30
30,10105,0.026573,30,0.01,0.95,2,5,ONE_POINT,50
30,19893,0.0228939,30,0.01,0.95,2,5,ONE_POINT,100
30,6069,0.0287527,30,0.01,0.95,2,5,TWO_POINT,30
30,9736,0.0248718,30,0.01,0.95,2,5,TWO_POINT,50
30,19277,0.0200465,30,0.01,0.95,2,5,TWO_POINT,100
30,7276,0.0374659,30,0.01,0.95,4,1,ONE_POINT,30
30,12203,0.0356532,30,0.01,0.95,4,1,ONE_POINT,50
30,23781,0.0247539,30,0.01,0.95,4,1,ONE_POINT,100
30,7347,0.0342083,30,0.01,0.95,4,1,TWO_POINT,30
30,11905,0.0288675,30,0.01,0.95,4,1,TWO_POINT,50
30,23571,0.0234983,30,0.01,0.95,4,1,TWO_POINT,100
30,7434,0.0342315,30,0.01,0.95,4,3,ONE_POINT,30
30,12162,0.0337647,30,0.01,0.95,4,3,ONE_POINT,50
30,24019,0.0271945,30,0.01,0.95,4,3,ONE_POINT,100
30,7245,0.0335222,30,0.01,0.95,4,3,TWO_POINT,30
30,11971,0.0309482,30,0.01,0.95,4,3,TWO_POINT,50
30,23286,0.0270487,30,0.01,0.95,4,3,TWO_POINT,100
30,7498,0.037591,30,0.01,0.95,4,5,ONE_POINT,30
30,12163,0.0360884,30,0.01,0.95,4,5,ONE_POINT,50
30,24220,0.0286334,30,0.01,0.95,4,5,ONE_POINT,100
30,7380,0.0354327,30,0.01,0.95,4,5,TWO_POINT,30
30,12071,0.0322635,30,0.01,0.95,4,5,TWO_POINT,50
30,23599,0.0277816,30,0.01,0.95,4,5,TWO_POINT,100
