n,type,runtime_microseconds
4,NK,252580
10,NK,1957338
15,NK,4691900
20,NK,8903080
22,NK,11154590
25,NK,14554573
27,NK,17085075
30,NK,22260403
4,ZKC,449984
10,ZKC,2329458
15,ZKC,5192380
20,ZKC,9082136
22,ZKC,11415628
25,ZKC,14636527
27,ZKC,17292628
30,ZKC,22150241
4,ZKW,1640956
10,ZKW,3256318
15,ZKW,3207897
20,ZKW,2843202
22,ZKW,5493628
25,ZKW,3866505
27,ZKW,3588814
30,ZKW,4467470
