type,variable_number,clauses_number,average_error,best_fitness_error,measured_time
N,20,78,1.75295e-05,1.65032e-05,27925
N,50,201,0.0,0.0,159644
N,75,310,0.0,0.0,64579
M,20,78,1.70138e-06,0.0,28531
M,50,201,0.0,0.0,160808
M,75,310,0.0,0.0,63361
A,20,88,0.000229737,0.0,15543
A,20,91,3.42536e-05,0.0,53872
Q,20,78,7.82833e-05,7.82833e-05,42397
Q,50,201,0.0,0.0,334533
Q,75,310,0.0,0.0,272483
R,20,78,3.51101e-05,3.51101e-05,33599
R,50,201,0.0,0.0,339801
R,75,310,0.0,0.0,263355
